sentiment,skin_type_mentioned,key_benefit,complaint,customer_representative_reply,dark_spot_effect
Positif,N/A,Membuat kulit lebih cerah,None,"Terima kasih sudah menggunakan produk Lightening Serum kami, Azarine! Kami senang mendengar bahwa Anda merasakan hasil yang positif dari produk kami. Kami senang bisa membantu Anda untuk memiliki kulit yang lebih cerah dan sehat. Segera mencoba produk lainnya!",
Positif,N/A,Berminyak (teksurnya ringan dan mudah terlihat hasilnya),None,Terima kasih sudah memilih produk sunscreen kami! Kami senang mendengar bahwa Anda telah melihat perbedaan positif setelah menggunakan produk kami. Kami akan tetap berusaha untuk memberikan produk berkualitas tinggi untuk Anda. Kami mengharapkan Anda untuk terus menggunakan produk kami dan memberikan umpan balik positif lainnya.,
Positif,N/A,Menghasilkan warna kulit yang lebih cerah (glowing) dalam waktu 7 hari,None,"Terima kasih telah memilih produk kami! Kami senang mendengar bahwa Anda merasakan manfaat dari produk sunscreen kami. Untuk mendapatkan hasil yang lebih optimal, kami sarankan Anda untuk terus menggunakan produk kami secara rutin dan menjaga pola hidup sehat dan aktif. Jika Anda memiliki pertanyaan atau kebutuhan tambahan, jangan ragu untuk menghubungi kami.",
Positif,N/A,Berkulit glowing dalam waktu singkat,None,"Terima kasih banyak sudah mencoba produk sunscreen kami! Kami senang sekali mendengar bahwa serum kita berhasil membuat kulit Anda berminyak. Jika Anda memiliki pertanyaan atau ingin tahu lebih banyak tentang produk kami, silakan hubungi kami di akun sosial media kami atau langsung menghubungi kami di [nomor telepon kami].",
Positif,N/A,Mencerahkan wajah,None,Terima kasih telah memilih produk kami! Kami senang membaca bahwa serum sunscreen kami efektif untuk mencerahkan wajah Anda. Kami akan terus meningkatkan produk kami untuk memenuhi kebutuhan Anda.,
Positif,N/A,"Glowing, lembab, dan nutrisi",None,"Terima kasih telah membagikan review positif tentang produk Sunscreen Azarine! Kami senang ketika produk kami membantu kulit Anda menjadi lebih glowing dan lembab. Produk Skincare Azarine dirancang untuk memberikan nutrisi yang optimal dan melindung kulit dari dampak negatif lingkungan. Kami berharap Anda akan terus menggunakan produk kami dan mencoba varian produk lainnya untuk memuaskan kebutuhan kulit Anda. Jika Anda memerlukan informasi tambahan atau memiliki pertanyaan, silakan hubungi kami di [email@azarine]. Kami akan senang membantu!",
Positif,N/A,Bisa mencerahkan wajah,None,"Terima kasih Anda telah memilih produk Sunscreen C White Lightening Serum kami! Kami senang mendengar bahwa produk kami sudah menunjukkan perubahan positif pada wajah Anda. Kami akan terus meningkatkan kualitas produk kami agar Anda dapat terus merasakan manfaatnya. Untuk informasi lebih lanjut tentang produk kami, jangan ragu untuk bertanya.",
Positif,N/A,"Mencerahkan kulit, melembapkan kulit, dan mengencangkan kulit",None,"Terima kasih sudah memilih produk kami, Azarine! Kami senang Anda puas dengan Whitening Serum kami. Kandungan lemon alami dan bahan aktif lainnya memang dapat membantu mencerahkan kulit dan mengencangkan kulit. Kami akan terus mengembangkan produk-produk yang lebih baik untuk Anda. Mohon terus mendukung kami!",
Positif,kering,"mengatasi kulit kusam, kering dan beruntusan",None,"Terima kasih atas ulasan Anda tentang produk Vitamin C Serum kami! Kami sangat senang mendengar bahwa produk kami telah membantu mengatasi masalah kulit Anda. Kami akan terus berusaha untuk memberikan produk yang berkualitas tinggi dan memenuhi kebutuhan pelanggan kami. Jika Anda memiliki pertanyaan atau saran, jangan ragu untuk menghubungi kami.",
Positif,N/A,Menghasilkan kulit yang glowing dan tidak kusam,None,"Terima kasih telah memilih produk kami! Kami senang mendengar bahwa Anda telah mengalami manfaat dari produk kami. Jika Anda memiliki pertanyaan atau kebutuhan lebih lanjut, jangan ragu untuk menghubungi kami.",
Positif,sensitif,memberikan nutrisi dan mencerahkan kulit,None,"Terima kasih sudah memilih produk kami! Kami senang mendengar bahwa serum kami cocok untuk jenis kulit Anda yang sensitif. Kami berharap Anda dapat terus menggunakan produk kami dan merasakan manfaatnya. Jika Anda memiliki pertanyaan atau kebutuhan adanya, jangan ragu untuk menghubungi kami.",
Positif,N/A,Membuat kulit makin glowing dan cantik,None,"Terima kasih telah memilih produk serum kami! Kami sangat senang melihat bahwa Anda merasakan manfaat dari produk kami. Untuk hasil yang lebih maksimal, pastikan untuk tetap menggunakan produk kami dengan rutin dan konsisten. Jika Anda memiliki pertanyaan atau kebutuhan lain, jangan ragu untuk menghubungi kami. Kami selalu siap membantu!",
Positif,N/A,Membuat kulit terlihat cerah dan glowing,None,Terima kasih telah memilih produk Azarine! Kami senang mendengar bahwa serum Anda berhasil memberikan hasil yang diinginkan. Bahan-bahan alami dalam serum kami dipilih untuk memenuhi kebutuhan kulit Anda secara alami. Harap terus menggunakan produk kami untuk mendapatkan hasil terbaik. ❤️,
Positif,N/A,"Sunscreen yang cocok, bahan alami, tekstur mudah meresap, ringan dan BPOM (yg menjamin keamanan produk)",None,Terima kasih telah meninggalkan ulasan positif tentang produk kami! Kami senang produk kami cocok untuk Anda. Kami akan terus meningkatkan kualitas produk kami agar tetap aman dan efektif.,
Positif,N/A,Membuat kulit tampak cerah dan glowing,None,"Terima kasih telah memilih serum Azarine untuk perawatan kulit Anda! Kami senang sekali mendengar bahwa Anda telah melihat hasil yang baik. Kandungan kami yang alami seperti Australian Kakadu Plum, Niacinamide, Hyaluronic Acid, Purslane, dan Papaya memang sangat efektif dalam membuat kulit cerah dan glowing. Kami senang Anda merasa puas dengan produk kami dan kami berharap Anda akan terus menggunakan produk kami untuk mencapai kulit yang sehat dan cantik. Selamat berbelanja lagi di Azarine!",
Positif,N/A,Memberikan kulit yang terlihat glowing dan sehat,None,Terima kasih telah menggunakan produk Lightening Serum Azarine. Kami senang ketahuan bahwa Anda menyukai hasilnya! Bahan-bahan alami yang kami gunakan memang sangat aman dan efektif untuk membantu kulit Anda terlihat lebih cerah. Kami akan terus meningkatkan kualitas produk kami untuk memberikan hasil yang lebih baik. Tolong terus mendukung kami dan berbagi pengalaman Anda dengan teman-teman!,
Positif,N/A,"Tidak lengket, cepat meresap, wangi enak, melembabkan kulit, membuat kulit kenyal",None,Terima kasih sudah memilih produk kami. Kami senang Anda puas dengan performa dan aroma produk kami. Kami akan terus meningkatkan kualitas produk kami untuk Anda.,
Positif,N/A,"Kandungan niacinamide, hyaluronic acid, dan papaya yang efektif dalam mencerahkan kulit dan memberikan kulit lembab lembab.",None,"Terima kasih sudah memilih serum lightening Azarine! Kami senang Anda puas dengan kualitas dan efektivitas produk kami. Untuk informasi lebih lanjut tentang produk kami atau saran kulit, Anda dapat menghubungi kami di [kontak kami] kami akan dengan senang hati membantu Anda!",
Positif,N/A,"Mengurangi kelembaban kulit dengan memberikan perasaan adem, lembut, dan wangi",None,Terima kasih telah memilih rangkaian skincare Azarine! Kami senang mendengar bahwa produk kami telah memberikan Anda hasil yang diinginkan. Kami selalu siap membantu Anda dalam memenuhi kebutuhan perawatan kulit Anda. Selamat berkecimpung di Azarine!,
Positif,N/A,"Mencerahkan, melembabkan",None,Terima kasih sudah memilih Azarine. Kami senang mengetahui bahwa Anda puas dengan produk kami. Kami terus meningkatkan kualitas untuk Anda.,
Positif,"kering, berminyak","melembabkan, mencerahkan, menghilangkan bekas jerawat",None,"Terima kasih telah memilih produk kami! Kami senang Anda puas dengan hasilnya. Vitamin C dalam produk kami memang efektif untuk mencerahkan kulit serta membantu menghilangkan bekas jerawat. Jika Anda memiliki pertanyaan atau kebutuhan lebih lanjut, jangan ragu untuk menghubungi kami.",
Positif,N/A,Membantu mengubah penampilan kulit wajah dalam beberapa kali pemakaian.,None,"Terima kasih telah mencoba produk sunscreen kami! Kami senang mendengar bahwa kamu menyukai aroma produk kami. Kami berharap kamu akan terus menggunakan kami dan melihat perubahan signifikan pada kondisi kulitmu. Jika kamu memiliki pertanyaan atau kebutuhan tambahan, jangan ragu untuk bertanya.",
Positif,N/A,"Wajah kelihatan lebih seger dan glowing, serta tekstur yang mudah menyerap dan tidak lengket",None,"Terima kasih telah menggunakan produk AZARINE! Kami senang mendengar bahwa kamu merasakan manfaatnya. Kami harap kamu terus menggunakan produk kami untuk mendapatkan hasil yang lebih baik. Jika kamu memiliki pertanyaan atau kebutuhan tambahan, jangan ragu untuk menghubungi kami.",
Positif,kering,"melembabkan, mencerahkan, hilangin bekas jerawat",None,Terima kasih telah memilih Azarine sebagai produk Anda! Kami senang mendengar bahwa Anda puas dengan kinerja produk kami. Vitamin C dalam produk kami membantu untuk mencerahkan serta memperbaiki kulit kering. Apakah Anda memiliki pertanyaan atau memerlukan saran pilihan produk yang lebih sesuai untuk kulit Anda? Kami akan senang membantu.,
Positif,N/A,Mencerahkan kulit dan menyamarkan noda bekas jerawat,None,"Terima kasih atas kunjungan Anda ke Azarine! Kami senang melihat produk kami telah membantu Anda menemukan solusi yang efektif untuk kebutuhan kulit Anda. Produk Serum untuk Pencerahan dan Perawatan Bintik Bekas Jerawat kami dirancang untuk membantu mencerahkan kulit dan menyamarkan noda bekas jerawat, serta meningkatkan kesehatan kulit. Kami berharap Anda terus puas dengan produk kami dan terus melacak kemajuan perawatan kulit Anda. Jika Anda memiliki pertanyaan atau kebutuhan lebih lanjut, jangan ragu untuk menghubungi kami!",
Positif,N/A,"produk memberikan tekstur ringan, mudah meresap, tidak lengket, dan tidak ada whitecast, serta membuat kulit lebih glowing.",None,"Terima kasih atas ulasan Anda! Kami senang Anda puas dengan hasil produk Azarine. Kami akan terus meningkatkan kualitas produk untuk kepuasan Anda. Selanjutnya, jangan ragu untuk mencoba produk lainnya dari kami. Hargai kulit Anda dengan produk terbaik!",
Positif,N/A,"teksur produk nyaman, mudah meresap, tidak lengket, wajah bisa menjadi cerah",None,"Selamat atas pilihan Anda memilih produk Sunscreen Azarine! Kami senang mendengar bahwa Anda puas dengan tekstur produk kami. Jika Anda ingin mencari produk yang dapat meningkatkan kesempurnaan kulit Anda, kami sarankan Anda mencoba serum Azarine yang telah Anda sebutkan. Terima kasih atas review Anda dan selamat menikmati produk kami!",
Positif,kulit sensitif,Membuat kulit cerah dan lembab,None,"Terima kasih atas ulasan Anda tentang Serum Azarine. Kami senang mendengar bahwa serum tersebut telah membantu Anda mencapai kulit cerah dan lembab. Jika Anda memiliki pertanyaan atau membutuhkan bantuan lebih lanjut, jangan ragu untuk menghubungi kami. Kami selalu siap membantu!",
Positif,sensitif,membuat wajah lebih cerah dan tekstur yang ringan,None,Terima kasih sudah mereview produk kami! Kami senang mendengar bahwa produk kami efektif membuat wajah lebih cerah dan mudah menyerap. Kami akan terus mengembangkan produk yang sesuai dengan kebutuhan pelanggan seperti Anda. Selamat berkesempatan menggunakan produk kami!,
Positif,sensitif,"Tidak lengkep, kulit wajah lembab dan kenyal menyegarkan",None,Terima kasih atas ulasan Anda! Kami senang mengetahui bahwa serum Azarine dapat menemukan tempat di hati Anda. Kami senang bisa membantu Anda menjaga kesehatan kulit Anda. Silakan terus berkonsultasi dengan kami jika Anda memiliki pertanyaan atau kebutuhan lainnya.,
Positif,sensitive,"Mencerahkan kulit wajah, menghindari kusam",None,"Terima kasih atas review positif Anda tentang C Light Serum Azarine! Kami senang produk kami dapat memenuhi harapan Anda. Untuk kulit sensitif, kami sarankan untuk tetap melakukan perawatan kulit secara hati-hati dan konsisten untuk mendapatkan hasil maksimal. Selamat terus menggunakan produk kami!",
Positif,N/A,"Cepat meresap ke kulit, tidak lengket, dan hasilnya bagus",None,Terima kasih telah menggunggah review tentang produk serum kami! Kami sangat senang mendengar bahwa Anda merasakan pengalaman positif dengan produk kami. Kami akan terus berkomitmen untuk memberikan produk yang berkualitas dan efektiif untuk kulit Anda. Silakan tingkatkan pengalamab Anda dengan menggunakan produk kami secara teratur.,
Positif,N/A,Menghasilkan kulit lebih cerah dan glowing,None,Terima kasih atas review positif Anda tentang Serum Azarine! Kami senang mendengar bahwa produk kami telah membantu membuat kulit Anda lebih cerah dan glowing. Kami akan terus meningkatkan kualitas produk kami untuk memenuhi kebutuhan pelanggan kami.,
Positif,N/A,Mencerahkan dan melembabkan,None,"Terima kasih telah membagikan pengalaman Anda dengan produk serum sunscreen kami! Kami senang Anda merasa puas dengan konsistensi dan tekstur produk, serta manfaat mencerahkan dan melembabkan. Karena kemajuan kami dalam teknologi dan pengembangan produk, kami menjamin bahwa kandungan produk kami terjamin keamanan dan efektifitasnya. Kami senang Anda merekomendasikan produk kami dan akan terus mencoba meningkatkan kualitas produk kami untuk menghidupi harapan kami.",
Positif,N/A,"Cocok untuk kulitku, mudah menyerap, wangi enak, dan tidak menyebabkan jerawatan.",None,Terima kasih telah memilih Azzarine serum sebagai pilihan kulit Anda. Kami senang Anda menemukan produk yang sesuai dengan kebutuhan kulit Anda. Kami sangat menghargai kesetiaan Anda dan berharap Anda akan terus menikmati hasil yang positif dari produk kami.,
Positif,N/A,produk yang ringan dan cepat meresap,None,Terima kasih sudah mencoba produk Azarine! Kami senang mendengar bahwa produk kami dapat menyenangkan experience Anda. Kami sangat senang Anda merasakan hasil yang baik selama 3x pemakaian. Kami akan terus berusaha untuk meningkatkan kualitas produk kami.,
Positif,sensitif,Membuat kulit lebih cerah dan lembab,N/A,"Terima kasih atas review Anda! Kami senang Azarine dapat membantu Anda memiliki kulit yang lebih cerah dan lembab. Kami percaya bahwa setiap kulit unik dan indah dalam cara sendiri, jadi kami senang Azarine dapat menyesuaikan dengan kebutuhan kulit Anda. Bolehkah kami membantu Anda menemukan produk lain dari kami yang sesuai dengan kebutuhan kulit Anda?",
Positif,N/A,Efektif dalam cerahin kulit dan tidak lengket,Kurangnya kemasan yang nyaman,Terima kasih sudah memilih produk kami! Kami senang Anda puas dengan hasilnya. Kami akan membawa perubahan pada kemasan untuk memberikan pengalaman yang lebih baik di masa depan. Selamat beraktivitas!,
Positif,"kusam, kering",produk sunscreen dapat melembabkan dan mencerahkan kulit,None,Terima kasih atas ulasan Anda tentang produk C White Lightening Serum kami. Kami senang mengetahui bahwa produk kami dapat membantu membuat kulit Anda lebih cerah dan lembab. Kami berharap Anda akan terus menggunakan produk kami dan menikmati manfaatnya.,
Positif,jerawat atau normal,Mudah digunakan dan cocok untuk semua jenis kulit yang mengalami jerawat,None,"Terima kasih sudah menggunakan produk AZARINE C WHITE SERIES, kami senang Anda mendapatkan manfaat dari produk kami. Jika Anda memiliki pertanyaan atau kesediaan untuk menggunakan produk kami lagi, silakan hubungi kami di kontak yang ada di situs web kami.",
Positif,N/A,"Penggunaan sel kulit mati diperkuat, kulit terlihat cerah dan terjaga kelembaban",None,Terima kasih sudah melakukan review produk kami. Kami senang sekali Anda merasakan manfaat dari kandungan serum kami. Kami akan terus berusaha meningkatkan kualitas produk kami supaya lebih sesuai dengan kebutuhan Anda. Selamat menggunakannya!,
Positif,N/A,"banyak yang pakai, bikin semangat pakai skincare, wangi teksturnya lembut",None,"Terima kasih atas review Anda tentang produk Azarine yang sangat membantu kami meningkatkan kualitas produk kami. Kami senang Anda mendapatkan manfaat dari produk kami dan kami harap Anda akan terus menikmati hasilnya. Jika Anda memiliki pertanyaan atau saran, jangan ragu untuk menghubungi kami.",
Positif,N/A,"Sunscreen ini ringan, cepat meresap, dan tidak lengket sehingga dapat langsung digunakan setelah skincare berikutnya. Selain itu, kandungan niacinamide dan kakadu plumnya efektif untuk mencerahkan kulit, serta kandungan hyaluronic acid yang menjaga kelembapan kulit.",None,"Terima kasih telah menggunakan produk sunscreen kami! Kami senang mendengar bahwa Anda telah menikmati hasilnya. Niacinamide dan kakadu plum efektif untuk mencerahkan kulit, sedangkan hyaluronic acid membantu menjaga kelembapan kulit. Kami harap Anda akan terus menggunakan produk kami dan menikmati manfaatnya. Jika Anda memiliki pertanyaan atau saran, jangan ragu untuk menghubungi kami.",
Positif,N/A,Membuat kulit wajah lebih cerah dan membantu meredakan bekas jerawat,None,Terima kasih atas feedback positif Anda atas produk serum kami! Kami senang sekali mendengar bahwa Anda sudah memperhatikan hasilnya dan merasakan perbedaan pada kulit wajah Anda setelah menggunakan produk kami. Kami akan terus berupaya untuk mengembangkan produk yang lebih baik untuk Anda dan keluarga Anda.,
Positif,N/A,"Membuat wajah cerah, glowing dan sehat dengan kandungan Niacinamide",None,"Terima kasih telah memilih produk Azarine! Kami senang bahwa Anda puas dengan hasilnya. Jika Anda memiliki pertanyaan atau ingin tahu lebih lanjut tentang produk kami, silakan hubungi kami melalui halaman kontak kami.",
Positif,N/A,Dapat meresap ke kulit dengan cepat dan memiliki wangi yang enak,None,Terima kasih telah mencoba produk sunscreen Azarine! Kami senang Anda puas dengan tekstur dan wanginya. Azarine akan terus berusaha untuk meningkatkan kualitas produk untuk kenyaman dan kepuasan Anda.,
Positif,sebagian besar wajah,serumnya cepat meresap,N/A,"Terima kasih sudah memilih produk kami, Azarine! Kami senang Anda puas dengan hasil serum kami. Kami akan terus berusaha untuk memberikan produk yang berkualitas tinggi. Bantuan lebih lanjut atau pertanyaan, silakan hubungi kami.",
Positif,N/A,"Wajah cerah dan lembab, bintik-bintik hitam memudar",None,Terima kasih telah menggunakan produk kami dan telah berkontribusi pada kualitas produk kita dengan meninggalkan ulasan yang sangat membantu! Kami senang mengetahui bahwa produk kami dapat membantu Anda mencapai sasaran kecantikan Anda. Harapan kami Anda terus puas dengan produk kami dan akan terus mendukung Anda dalam perjalanan kecantikan Anda dengan produk-produk kami.,
Positif,N/A,"Cepat meresap, tidak lengket, tekstur bagus, ringan, cocok untuk kulit wajah",None,Terima kasih atas ulasan positif Anda tentang produk Serum Azarine! Kami senang Anda menyukai tekstur dan kenyamanan produk di kulit Anda. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk meningkatkan kepuasan pelanggan. Segera kunjungi toko online kami untuk membeli lagi produk yang Anda suka!,
Positif,N/A,Menyamarkan bekas jerawat dan tidak membuat kulit iritasi,None,Terima kasih telah memilih produk kami! Kami senang Anda merasakan manfaat dari serum vitamin C kami. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk memenuhi kebutuhan Anda. Apresiasi Anda sangat berharga bagi kami.,
Positif,berminyak,bekerja dengan baik dan meningkatkan perawatan kulit,None,Terima kasih telah memilik serius serum dari kami dan memberikan feedbak positif. Kami senang Anda menyukai manfaat produk kami untuk kulit wajah Anda. Kami akan terus meningkatkan kualitas produk dan pelayanan kami untuk Anda.,
Positif,N/A,Bisa mencerahkan,None,"Terima kasih sudah mengulas produk kami! Kami senang sekali bahwa Anda menyukai kemasan dan harga produk kami. Serum kami memang bisa membantu meningkatkan kecerahan pada kulit. Untuk saran Anda, kami senang mengetahui bahwa Anda ingin mencoba produk kami lagi. Kami akan terus berusaha untuk meningkatkan kualitas dan kepuasan pelanggan. Terima kasih atas kepercayaan Anda kepada Azarine!",
Positif,N/A,Mencerahkan,None,Terima kasih sudah mencoba produk kami! Kami senang mendengar bahwa kamu menyukai kemasan ringan dan harga yang terjangkau. Kami juga senang produk kami cocok untuk kebutuhan kamu. Kami sarankan Anda untuk terus menggunakan produk kami agar mendapatkan hasil yang lebih baik. Terima kasih atas kesetiaan Anda sebagai pelanggan kami!,
Positif,N/A,"Mencerahkan wajah, melembabkan, dan memiliki kandungan bagus",None,"Terima kasih sudah meninggalkan ulasan yang bagus tentang produk sunscreen kami! Kami senang sekali kamu puas dengan hasilnya. Jika kamu memiliki pertanyaan lain atau butuh saran skincare, jangan ragu untuk menghubungi kami lagi",
Positif,N/A,"Bikin wajah lebih cerah, kenyal, dan sehat",None,Terima kasih sudah menggunakan produk Azarine! Kami senang mendengar bahwa serum c-white lightening serum kami telah membantu membuat wajah Anda lebih cerah dan sehat. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk memenuhi kebutuhan Anda. Sampai jumpa lagi!,
Positif,N/A,"Membuat kulit wajah lebih cerah dan kenyal, dilihat dari pencerahan dan nutrisi yang didapatkan.",None,Terima kasih atas review Anda yang membantu. Kami sangat senang mendengar bahwa produk Azarine C White Lightening Serum telah memberikan dampak positif pada kulit wajah Anda. Kami sangat senang membantu Anda mencapai kulit yang cantik dan sehat.,
Positif,N/A,"Bisa membuat kulit lebih cerah & kenyal, serta mengecilkan pori-pori",None,Selamat atas keputusan Anda untuk mencoba produk serum kami! Kami senang mendengar bahwa serum kami telah membantu Anda merasa lebih cerah dan kenyal. Kami akan terus berkomitmen untuk menyediakan produk berkualitas terbaik untuk Anda. Terima kasih atas dukungan Anda!,
Positif,N/A,Mencerahkan kulit,None,"Terima kasih telah memilih produk serum Azarine! Kami senang melihat Anda telah menikmati hasil yang positif dari penggunaan produk kami. Produk kami dirancang untuk membantu mencerahkan kulit dan mengurangi noda bekas jerawat. Kami senang menjadi bagian dari perjalanan kecantikan Anda. Untuk informasi lebih lanjut atau pertanyaan, jangan ragu untuk menghubungi kami.",
Positif,N/A,Sunscreen ini ampuh melindungi kulit dan cocok untuk berbagai jenis kulit,None,"Terima kasih telah memilih produk sunscreen kami, Azarine! Kami senang mendengar bahwa Anda puas dengan hasilnya. Kami akan terus berusaha untuk menyediakan produk yang berkualitas tinggi bagi Anda dan semua pelanggan kami. Sertai komunitas kami di media sosial untuk mendapatkan informasi tentang produk terbaru dan promosi!",
Negatif,N/A,Efek brightening yang tidak dirasakan,Produk menyebabkan peeling meskipun dipakai setelah sunscreen,Terima kasih atas review Anda. Kami sangat menyayangkan bahwa serum vitamin C kami tidak memberikan efek yang Anda harapkan. Kami akan memperhatikan lebih lanjut untuk menyempurnakan produk kami. Apakah Anda mungkin ingin mencoba produk lain dari kami yang mungkin lebih sesuai dengan kebutuhan kulit Anda?,
Positif,Berminyak (dengan bekas jerawat),Mengurangi bekas jerawat dan meningkatkan tekstur kulit,Tidak ada,Terima kasih banyak telah memilih Azarine sebagai produk kecantikan Anda. Kami senang bahwa Anda telah melihat hasil yang positif dari penggunaan produk kami. Kami akan terus berusaha untuk mempertahankan kualitas produk kami dan menghadirkan produk yang lebih baik untuk Anda dan keluarga Anda,
Positif,N/A,Memberikan efek nyerahin yang terlihat dan tidak menyebabkan peeling pada kulit,Baunya nyengat pada awal kali digunakan,Selamat atas pilihan Anda untuk produk serum kami! Kami senang Anda menyukai kinerja produk kami. Jangan ragu untuk menghubungi kami jika Anda memiliki pertanyaan atau kebutuhan lebih lanjut. Terima kasih atas Review Anda!,
Positif,N/A,Produk dapat mengurangi bekas jerawat,None,"Terima kasih atas review Anda! Kami senang mendengar bahwa produkJerawat Anda berhasil dengan produk kami. Namun, kami ingin menyampaikan bahwa produk ini lebih sesuai digunakan pada kulit yang sehat, bukan sebagai pengganti terapi jerawat. Jika Anda memiliki pertanyaan atau kebutuhan lebih lanjut, silakan hubungi kami.",
Positif,N/A,Mencerahkan wajah,None,Terima kasih atas feedback positif Anda! Kami senang Anda puas dengan produk Azarine. Kami akan terus bekerja keras untuk memberikan produk yang berkualitas dan menguntungkan Anda.,
Negatif,N/A,Tidak ada manfaat yang dirasakan oleh pelanggan (mencerahkan warna kulit tidak tercapai),"Produk tidak efektif, tidak ada perubahan pada warna kulit, harga terlalu rendah jika dibandingkan dengan kinerja produk","Terima kasih atas umpan balik Anda! Kami menyesal untuk menyadari bahwa produk kami tidak dapat memenuhi harapan Anda. Kami akan menggunakan informasi ini untuk meningkatkan kualitas produk kami. Sekali lagi, kami berterima kasih atas saran Anda dan berharap Anda akan mencoba produk kami lainnya di masa depan.",
Positif,kering,Melembabkan kulit dan membuat kulit lebih cerah,None,"Terima kasih telah memilih produk Azarine c White Lightening Serum. Kami senang mengetahui bahwa Anda telah melihat perbedaan pada kulit Anda. Saya akan mengajak Anda untuk terus menggunakan produk kami untuk mencapai hasil yang optimal. Jika Anda memiliki pertanyaan atau membutuhkan bantuan, jangan ragu untuk menghubungi tim kami.",
Positif,N/A,Cerahkan dan ringan di wajah; aman untuk bumil dan busui,None,"Terima kasih atas ulasan positif Anda, kami senang Anda meregangkan kepercayaan atas kualitas produk kami. Azarine terus berkomitmen untuk memberikan produk yang aman dan efektif untuk semua jenis kulit.",
Positif,N/A,Membuat wajah lebih cerah,None,"Terima kasih sudah mencoba produk kami! Kami senang membantu Anda mendapatkan kulit yang lebih cerah. Jika Anda memiliki pertanyaan atau kebutuhan lain, jangan ragu hubungi kami!",
Positif,N/A,Mencerahkan kulit dan memberikan nutrisi pada kulit,None,Terima kasih telah memilih produk kami! Kami senang Anda puas dengan hasilnya. Aroma jeruk favorit Anda pun membuat kami bahagia. Semoga produk kami selalu memuaskan Anda dan kirimkan feedback lagi jika Anda membutuhkan.,
Positif,N/A,"melembabkan, meratakan warna kulit, membantu mengurangi noda-noda bekas jerawat",None,"Terima kasih telah memilih produk kami! Kami senang melihat kamu menikmati hasilnya. Jika kamu memerlukan bantuan lebih lanjut atau memiliki pertanyaan, jangan ragu untuk bertanya. Kepuasan pelanggan adalah prioritas kami!",
Positif,N/A,"Membuat wajah lebih cerah dan menghilangkan kusam, serta membantu menghilangkan bekas jerawat",None,Terima kasih sudah mencoba produk kami! Kami senang mendengar bahwa produk kami membantu membuat wajah Anda lebih cerah dan menghilangkan kusam. Kami juga senang mendengar bahwa serum kami membantu menghilangkan bekas jerawat Anda. Kami berharap Anda akan terus menggunakan produk kami dan memberikan umpan balik pada keberlanjutan Anda.,
Positif,N/A,"Membuat wajah lebih cerah, kencang, dan kenyal",None,Terima kasih atas ulasan Anda atas Serum Azarine Vitamin C! Kami senang Anda menyukai hasilnya. Ingatlah untuk menggunakan serum secara merata dan pijat halus pada wajah agar lebih meresap. Kami sarankan Anda untuk terus menggunakan night cream vitamin C kami untuk mendapatkan hasil yang lebih maksimal. Semoga Anda akan tetap senang dengan produk kami!,
Positif,N/A,Membuat kulit cerah dan tidak menyebabkan muka kering atau berjerawat,None,"Terima kasih banyak sudah mencoba produk Azarine Serum Sunscreen kita! Kami senang mendengar bahwa produk kami membantu membuat kulit Anda terlihat lebih cerah dan sehat. Jika Anda memiliki pertanyaan apapun atau membutuhkan bantuan dengan produk kami, jangan ragu untuk menghubungi kami. Kami akan senang membantu!",
Positif,N/A,Cerahkan dan calming wajah,Sensitif,"Selamat atas pilihan Anda untuk menggunakan serum vitamin C kami! Kami senang Anda merasa cerahkan dan calming wajah setelah menggunakan produk kami. Kami juga mengucapkan terima kasih atas keterangan yang Anda berikan tentang sensitivitas kulit Anda. Kami telah menerima komentar Anda dan akan menjalankan analisis untuk meningkatkan produk kami. Jika Anda memiliki pertanyaan atau kekhawatiran, silakan hubungi kami di support@azarine.com. Kami akan dengan senang hati membantu!",
Positif,N/A,Serum membuat wajah lebih cerah dan menghilangkan bekas jerawat,None,Terima kasih atas ulasan positif Anda tentang produk kami! Kami senang tahu bahwa Anda puas dengan hasil yang Anda rasakan. Kami akan terus berusaha untuk memberikan produk-produk terbaik untuk membantu Anda memiliki kulit yang sehat dan terawat. Selamat berkreasi dengan produk kami!,
Positif,tidak disebutkan secara spesifik,"Bikin kulit kenyal, melembabkan kulit, kulit semakin cerah, dan mengurangi kemerahan di wajah",None,"Terima kasih telah memilih produk sunscreen Azarine! Kami senang mendengar bahwa produk kami telah membantu membuat kulit Anda lebih sehat dan cerah. Jika Anda membutuhkan bantuan lebih lanjut atau memiliki pertanyaan, jangan ragu hubungi kami. Selalu menyenangkan melayani Anda.",
Positif,N/A,"Mengandung kandungan niacinamide dan hyaluronic acid yang baik untuk kulit, serta dapat menunjukkan hasil yang mantap.",None,Terima kasih telah mencoba produk sunscreen kami! Kami senang mendengar bahwa produk kami telah membantu mengatasi masalah kulitmu. Kami selalu berusaha untuk menyediakan produk yang berkualitas tinggi dan aman untuk digunakan. Kami harap Anda tetap menjadi pelanggan setia kami!,
